image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_5/A0.jpg,181,92,271,182
user_5/A1.jpg,180,95,270,185
user_5/A2.jpg,180,97,270,187
user_5/A3.jpg,180,98,270,188
user_5/A4.jpg,179,103,269,193
user_5/A5.jpg,204,50,294,140
user_5/A6.jpg,204,50,294,140
user_5/A7.jpg,205,50,295,140
user_5/A8.jpg,209,50,299,140
user_5/A9.jpg,205,51,295,141
user_5/B0.jpg,163,47,293,177
user_5/B1.jpg,163,47,293,177
user_5/B2.jpg,163,47,293,177
user_5/B3.jpg,169,52,289,172
user_5/B4.jpg,177,58,287,168
user_5/B5.jpg,169,13,319,163
user_5/B6.jpg,169,13,319,163
user_5/B7.jpg,178,14,318,154
user_5/B8.jpg,178,14,318,154
user_5/B9.jpg,183,19,313,149
user_5/C0.jpg,195,49,305,159
user_5/C1.jpg,195,48,305,158
user_5/C2.jpg,195,48,305,158
user_5/C3.jpg,198,52,308,162
user_5/C4.jpg,202,60,302,160
user_5/C5.jpg,168,58,298,188
user_5/C6.jpg,171,52,301,182
user_5/C7.jpg,176,40,306,170
user_5/C8.jpg,176,33,306,163
user_5/C9.jpg,177,28,307,158
user_5/D0.jpg,153,48,303,198
user_5/D1.jpg,157,38,307,188
user_5/D2.jpg,159,33,309,183
user_5/D3.jpg,165,28,315,178
user_5/D4.jpg,167,26,317,176
user_5/D5.jpg,133,23,303,193
user_5/D6.jpg,131,14,301,184
user_5/D7.jpg,150,9,310,169
user_5/D8.jpg,159,4,319,164
user_5/D9.jpg,170,9,310,149
user_5/E0.jpg,161,76,271,186
user_5/E1.jpg,169,73,279,183
user_5/E2.jpg,166,67,276,177
user_5/E3.jpg,172,64,282,174
user_5/E4.jpg,182,63,292,173
user_5/E5.jpg,210,55,310,155
user_5/E6.jpg,210,55,310,155
user_5/E7.jpg,212,53,312,153
user_5/E8.jpg,212,53,312,153
user_5/E9.jpg,213,50,313,150
user_5/F0.jpg,179,32,309,162
user_5/F1.jpg,173,30,303,160
user_5/F2.jpg,184,29,314,159
user_5/F3.jpg,175,23,305,153
user_5/F4.jpg,181,30,311,160
user_5/F5.jpg,103,58,233,188
user_5/F6.jpg,108,48,238,178
user_5/F7.jpg,121,42,251,172
